param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
12,12,12,"(5, 6)",-5,eulerian,0.0,0.008
12,12,14,"(6, 9)",-2,eulerian,0.0,0.031
12,12,16,"(7, 8)",-2,eulerian,0.0,0.031
12,12,17,"(7, 10)",2,eulerian,0.0,0.01
12,12,19,"(8, 11)",-4,eulerian,0.0,0.011
12,12,20,"(9, 10)",-2,eulerian,0.0,0.008
13,13,0,"(0, 1)",2,eulerian,0.0,0.01
13,13,1,"(0, 11)",-2,eulerian,0.0,0.009
13,13,4,"(1, 5)",2,eulerian,0.0,0.018
13,13,5,"(2, 3)",-3,eulerian,0.0,0.028
13,13,6,"(2, 8)",3,eulerian,0.0,0.013
13,13,8,"(3, 4)",-4,eulerian,0.0,0.019
13,13,9,"(3, 6)",1,eulerian,0.0,0.037
13,13,11,"(4, 5)",-4,eulerian,0.0,0.021
13,13,12,"(5, 6)",-2,eulerian,0.0,0.036
13,13,13,"(6, 7)",-3,eulerian,0.0,0.023
13,13,14,"(6, 9)",2,eulerian,0.0,0.011
13,13,16,"(7, 8)",-3,eulerian,0.0,0.023
13,13,18,"(8, 9)",-1,eulerian,0.0,0.029
13,13,19,"(8, 11)",1,eulerian,0.0,0.009
13,13,20,"(9, 10)",1,eulerian,0.0,0.006
13,13,21,"(10, 11)",1,eulerian,0.0,0.007
14,14,0,"(0, 1)",2,eulerian,0.0,0.01
14,14,1,"(0, 11)",-2,eulerian,0.0,0.009
14,14,2,"(1, 2)",2,eulerian,0.0,0.006
14,14,3,"(1, 3)",-1,eulerian,0.0,0.006
14,14,4,"(1, 5)",1,eulerian,0.0,0.005
14,14,5,"(2, 3)",2,eulerian,0.0,0.007
14,14,6,"(2, 8)",-1,eulerian,0.0,0.024
14,14,7,"(2, 11)",1,eulerian,0.0,0.006
14,14,8,"(3, 4)",2,eulerian,0.0,0.007
14,14,9,"(3, 6)",-1,eulerian,0.0,0.023
14,14,11,"(4, 5)",2,eulerian,0.0,0.007
14,14,12,"(5, 6)",3,eulerian,0.0,0.023
14,14,14,"(6, 9)",2,eulerian,0.0,0.01
