edge_id,node_u,node_v,length_meters,flow,flow_magnitude,direction
202,42200619,3074538202,193.27,-10,10,3074538202 -> 42200619
203,41545930,42424999,100.3,2,2,41545930 -> 42424999
204,42424999,41629297,112.29,13,13,42424999 -> 41629297
205,42424999,41860940,100.0,0,0,unused
206,41548384,2007473004,13.99,2,2,41548384 -> 2007473004
207,41548384,1556606323,129.96,-1,1,1556606323 -> 41548384
208,2007473004,12895886671,231.55,-1,1,12895886671 -> 2007473004
209,2007473004,12897697019,232.37,27,27,2007473004 -> 12897697019
210,2007473004,11907040130,107.04,-23,23,11907040130 -> 2007473004
211,41548393,42023642,117.38,-1,1,42023642 -> 41548393
212,41548393,41929202,206.69,0,0,unused
213,317521509,41929202,108.12,1,1,317521509 -> 41929202
214,42023642,42023651,132.9,-2,2,42023651 -> 42023642
215,42023642,42338388,114.1,1,1,42023642 -> 42338388
216,41929202,41716554,120.17,1,1,41929202 -> 41716554
217,41549026,41549031,208.0,3,3,41549026 -> 41549031
218,41549026,329637404,191.01,3,3,41549026 -> 329637404
219,41549026,41570871,112.45,-4,4,41570871 -> 41549026
220,41549026,41570864,113.2,-2,2,41570864 -> 41549026
221,41549031,41549033,205.47,1,1,41549031 -> 41549033
222,41549031,6074464055,59.93,1,1,41549031 -> 6074464055
223,41549031,41618217,113.1,1,1,41549031 -> 41618217
224,329637404,5158562045,59.05,-1,1,5158562045 -> 329637404
225,329637404,12113937864,301.13,4,4,329637404 -> 12113937864
226,41570871,41812050,202.43,-1,1,41812050 -> 41570871
227,41570871,1680570050,114.66,0,0,unused
228,41570871,42026853,200.52,-3,3,42026853 -> 41570871
229,41570864,41570855,239.42,12,12,41570864 -> 41570855
230,41570864,41618217,206.17,-1,1,41618217 -> 41570864
231,41570864,12113937864,219.48,-13,13,12113937864 -> 41570864
232,41549033,42026877,114.33,1,1,41549033 -> 42026877
233,6074464055,41812050,54.13,1,1,6074464055 -> 41812050
234,6074464055,6074464043,54.38,0,0,unused
235,41618217,329626626,42.76,0,0,unused
236,42026877,42481008,115.51,0,0,unused
237,42026877,6074464043,204.34,1,1,42026877 -> 6074464043
238,41549116,41549119,116.72,1,1,41549116 -> 41549119
239,41549116,42026813,114.84,-1,1,42026813 -> 41549116
240,41549116,1397281377,46.88,0,0,unused
241,41549116,1680570091,121.71,0,0,unused
242,41549119,41549122,118.23,1,1,41549119 -> 41549122
243,41549119,1680570074,115.55,-1,1,1680570074 -> 41549119
244,41549119,41618201,110.49,1,1,41549119 -> 41618201
245,42026813,41882907,78.84,1,1,42026813 -> 41882907
246,42026813,2297694158,18.16,-2,2,2297694158 -> 42026813
247,1680570091,1556606335,113.17,2,2,1680570091 -> 1556606335
248,1680570091,1450708279,39.26,-23,23,1450708279 -> 1680570091
249,1680570091,12895886663,115.67,21,21,1680570091 -> 12895886663
250,41549122,42026839,281.27,0,0,unused
251,41549122,42026825,114.83,1,1,41549122 -> 42026825
252,1680570074,41599799,63.4,-1,1,41599799 -> 1680570074
253,1680570074,41882907,38.55,0,0,unused
254,41618201,41618199,118.29,1,1,41618201 -> 41618199
255,41618201,41882950,205.23,0,0,unused
256,42026839,42026853,95.94,1,1,42026839 -> 42026853
257,42026839,42674699,108.15,-1,1,42674699 -> 42026839
258,42026825,41599799,53.8,2,2,42026825 -> 41599799
259,42026825,42037586,161.02,-1,1,42037586 -> 42026825
260,41570849,1680570132,119.79,-1,1,1680570132 -> 41570849
261,41570849,1556606578,122.53,7,7,41570849 -> 1556606578
262,41570849,41803783,103.04,2,2,41570849 -> 41803783
263,41570849,42354407,103.28,-8,8,42354407 -> 41570849
264,1680570132,41570855,102.37,2,2,1680570132 -> 41570855
265,1680570132,41803789,102.43,-1,1,41803789 -> 1680570132
266,1680570132,41823844,105.43,-2,2,41823844 -> 1680570132
267,1556606578,1556606581,102.47,-3,3,1556606581 -> 1556606578
268,1556606578,1556606580,103.55,10,10,1556606578 -> 1556606580
269,41803783,1556606580,122.27,1,1,41803783 -> 1556606580
270,41803783,1556606454,102.29,2,2,41803783 -> 1556606454
271,41803783,41803789,119.18,-1,1,41803789 -> 41803783
272,41570855,41812032,305.01,13,13,41570855 -> 41812032
273,41570855,3155508119,213.45,1,1,41570855 -> 3155508119
274,41812032,41576287,103.28,1,1,41812032 -> 41576287
275,41812032,41812031,120.11,1,1,41812032 -> 41812031
276,41812032,41823844,101.83,11,11,41812032 -> 41823844
277,3155508119,41701848,212.56,2,2,3155508119 -> 41701848
278,3155508119,3155508070,102.34,-1,1,3155508070 -> 3155508119
279,12113937864,5158562046,172.83,-9,9,5158562046 -> 12113937864
280,41812050,6074464043,8.68,2,2,41812050 -> 6074464043
281,41812050,6074464048,113.04,-2,2,6074464048 -> 41812050
282,1680570050,41570875,116.97,-1,1,41570875 -> 1680570050
283,1680570050,42674703,91.91,-2,2,42674703 -> 1680570050
284,1680570050,1397735918,77.93,3,3,1680570050 -> 1397735918
285,42026853,5158562046,58.33,0,0,unused
286,42026853,42345818,90.02,-1,1,42345818 -> 42026853
287,42026853,5158562045,57.93,-1,1,5158562045 -> 42026853
288,41570875,6074464047,202.19,0,0,unused
289,6074464047,6074464041,7.7,1,1,6074464047 -> 6074464041
290,6074464047,6074464048,117.52,-1,1,6074464048 -> 6074464047
291,41570879,41631310,109.97,-1,1,41631310 -> 41570879
292,41570879,1680570026,97.52,5,5,41570879 -> 1680570026
293,41570879,41570882,209.08,-3,3,41570882 -> 41570879
294,41631310,42354459,205.44,0,0,unused
295,41631310,41631314,91.52,-1,1,41631314 -> 41631310
296,1680570026,1398166289,106.86,0,0,unused
297,41570882,42354459,105.68,-3,3,42354459 -> 41570882
298,42354459,41812065,91.92,-3,3,41812065 -> 42354459
299,41576286,1556606573,123.12,2,2,41576286 -> 1556606573
300,41576286,41576287,119.62,0,0,unused
301,41576286,41812031,103.8,-1,1,41812031 -> 41576286
302,41576286,42480984,102.86,-1,1,42480984 -> 41576286
303,1556606573,41860855,117.86,2,2,1556606573 -> 41860855
304,1556606573,1556606555,103.4,-1,1,1556606555 -> 1556606573
305,1556606573,1556606581,206.53,1,1,1556606573 -> 1556606581
306,41576287,329617639,73.56,0,0,unused
307,41576287,41823847,105.22,1,1,41576287 -> 41823847
308,41812031,42354407,103.58,0,0,unused
309,41823847,42480984,118.78,1,1,41823847 -> 42480984
310,41576311,41576313,203.58,1,1,41576311 -> 41576313
311,41576311,6074464038,93.07,1,1,41576311 -> 6074464038
312,41576313,42401437,105.56,2,2,41576313 -> 42401437
313,41576313,6074464036,92.71,-1,1,6074464036 -> 41576313
314,6074464038,41631314,8.44,4,4,6074464038 -> 41631314
315,6074464038,6074464036,202.87,1,1,6074464038 -> 6074464036
316,41579562,41579564,80.13,0,0,unused
317,41579564,41579566,164.37,0,0,unused
318,41579564,42322708,63.42,-1,1,42322708 -> 41579564
319,41579564,42225311,69.36,1,1,41579564 -> 42225311
320,42322708,42717543,79.66,0,0,unused
321,42225311,41794944,71.91,1,1,42225311 -> 41794944
322,42225311,42225313,166.42,0,0,unused
323,41588080,41588168,138.99,2,2,41588080 -> 41588168
324,41588080,41711801,120.57,1,1,41588080 -> 41711801
325,41588080,256544743,118.58,0,0,unused
326,41588168,42203750,145.45,2,2,41588168 -> 42203750
327,41588168,41588169,121.37,-3,3,41588169 -> 41588168
328,41588168,42203741,117.86,3,3,41588168 -> 42203741
329,41711801,41621515,118.14,-1,1,41621515 -> 41711801
330,41711801,42203741,118.2,3,3,41711801 -> 42203741
331,41711801,41711799,116.22,-1,1,41711799 -> 41711801
332,41588084,42398527,145.69,-2,2,42398527 -> 41588084
333,41588084,42523789,115.43,-1,1,42523789 -> 41588084
334,41588084,2295357165,113.85,2,2,41588084 -> 2295357165
335,42398527,41712031,178.26,1,1,42398527 -> 41712031
336,42398527,41786014,170.65,0,0,unused
337,42398527,42582165,146.96,-3,3,42582165 -> 42398527
338,42523789,41621515,113.8,1,1,42523789 -> 41621515
339,42523789,42210374,116.79,-2,2,42210374 -> 42523789
340,42523789,42214530,114.1,0,0,unused
341,2295357165,42214530,117.68,-1,1,42214530 -> 2295357165
342,2295357165,11328997799,93.15,3,3,2295357165 -> 11328997799
343,41588090,41888697,128.14,1,1,41588090 -> 41888697
344,41588090,41588091,145.53,1,1,41588090 -> 41588091
345,41588090,11328997799,150.1,-2,2,11328997799 -> 41588090
346,41888697,41644391,145.72,2,2,41888697 -> 41644391
347,41888697,41741346,148.96,-1,1,41741346 -> 41888697
348,41588091,41644395,140.38,1,1,41588091 -> 41644395
349,41588091,41644393,105.39,-1,1,41644393 -> 41588091
350,41588091,41588093,116.35,1,1,41588091 -> 41588093
351,11328997799,41741346,121.06,3,3,11328997799 -> 41741346
352,11328997799,2990395952,146.24,2,2,11328997799 -> 2990395952
353,11328997799,4347911154,103.74,-4,4,4347911154 -> 11328997799
354,41644395,41644396,146.36,0,0,unused
355,41644395,42311251,115.54,2,2,41644395 -> 42311251
356,41644395,42398528,233.38,-1,1,42398528 -> 41644395
357,41644393,41644391,22.04,1,1,41644393 -> 41644391
358,41644393,42311243,127.99,-2,2,42311243 -> 41644393
359,41588093,42311251,141.16,-1,1,42311251 -> 41588093
360,41588093,330521565,12.48,2,2,41588093 -> 330521565
361,42311251,41804917,173.6,-4,4,41804917 -> 42311251
362,42311251,42311260,146.59,5,5,42311251 -> 42311260
363,330521565,41588095,160.61,4,4,330521565 -> 41588095
364,330521565,42311243,105.05,-2,2,42311243 -> 330521565
365,41588095,41594647,67.04,3,3,41588095 -> 41594647
366,41588095,41804914,103.74,1,1,41588095 -> 41804914
367,41594647,41804917,73.95,3,3,41594647 -> 41804917
